ID,Class
368,democrat
15,democrat
94,republican
107,republican
285,republican
53,democrat
138,democrat
265,democrat
419,republican
226,republican
359,republican
353,democrat
162,democrat
40,democrat
81,republican
427,democrat
320,democrat
193,republican
91,democrat
200,democrat
44,republican
299,democrat
119,democrat
411,republican
334,democrat
2,democrat
117,republican
404,republican
346,republican
150,democrat
82,democrat
259,republican
8,republican
46,republican
160,democrat
227,democrat
272,democrat
358,republican
319,democrat
71,democrat
268,democrat
428,republican
312,democrat
254,republican
124,republican
177,democrat
409,democrat
96,republican
176,democrat
332,democrat
13,republican
98,democrat
417,democrat
360,democrat
166,democrat
394,democrat
399,republican
431,democrat
28,democrat
288,democrat
154,democrat
95,democrat
352,republican
309,democrat
25,democrat
328,democrat
228,democrat
212,democrat
159,republican
256,republican
386,republican
323,democrat
433,democrat
337,democrat
223,republican
418,republican
374,republican
412,democrat
414,democrat
376,democrat
271,republican
213,republican
122,republican
245,democrat
277,republican
390,republican
185,democrat
392,democrat
398,democrat
123,republican
348,democrat
49,republican
31,republican
326,democrat
136,democrat
327,republican
295,republican
58,democrat
261,democrat
188,democrat
389,democrat
142,republican
222,democrat
111,democrat
235,republican
380,democrat
357,democrat
234,republican
6,democrat
156,democrat
179,republican
384,republican
303,republican
137,democrat
140,democrat
370,democrat
132,republican
217,democrat
52,democrat
248,republican
361,democrat
300,democrat
362,democrat
229,republican
146,republican
400,democrat
47,democrat
26,democrat
203,republican
296,republican
247,republican
65,democrat
51,republican
201,republican
216,democrat
37,republican
395,democrat
237,republican
330,democrat
100,republican
61,republican
196,democrat
410,democrat
331,republican
127,democrat
365,democrat
373,republican
305,democrat
413,democrat
434,republican
302,democrat
192,democrat
1,republican
336,democrat
36,democrat
293,democrat
167,republican
143,democrat
88,democrat
144,republican
371,republican
316,democrat
425,democrat
7,democrat
99,republican
181,democrat
157,republican
199,democrat
278,democrat
423,democrat
283,republican
396,republican
170,republican
344,republican
173,democrat
269,democrat
22,republican
34,democrat
130,democrat
403,republican
335,democrat
264,democrat
282,republican
35,democrat
115,democrat
406,republican
219,republican
105,republican
207,republican
197,republican
84,republican
243,democrat
38,democrat
329,democrat
97,republican
43,republican
155,republican
172,democrat
354,democrat
286,democrat
318,republican
294,republican
257,republican
16,democrat
175,republican
347,republican
77,democrat
225,democrat
236,democrat
325,republican
141,democrat
356,republican
408,democrat
187,democrat
377,democrat
54,republican
103,republican
