ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
134,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
224,republican,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
32,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,NaN
171,democrat,1,0,1,0,0,0,NaN,1,1,NaN,0,0,0,0,1,NaN
333,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,NaN
148,democrat,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
83,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
24,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
281,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
416,democrat,0,1,1,0,0,1,1,1,NaN,1,0,0,0,0,0,1
194,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
420,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
307,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
113,democrat,0,NaN,1,0,0,1,1,1,0,1,0,0,0,0,1,NaN
232,republican,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
59,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
372,democrat,1,1,1,0,NaN,0,1,1,1,1,0,0,0,0,1,NaN
407,democrat,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
158,democrat,0,1,1,0,0,1,0,1,1,0,1,0,NaN,NaN,NaN,NaN
72,republican,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
249,republican,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
341,republican,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
322,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
251,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
189,republican,1,NaN,0,1,1,1,1,1,0,0,0,1,NaN,1,NaN,NaN
366,democrat,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
41,democrat,1,1,1,0,0,0,1,1,1,0,NaN,0,0,0,0,NaN
401,republican,0,1,0,1,1,1,0,NaN,0,0,NaN,NaN,NaN,1,0,NaN
126,republican,0,NaN,0,1,1,1,0,0,0,1,0,1,1,1,0,1
14,democrat,1,1,1,0,0,1,1,1,NaN,1,1,NaN,0,0,1,NaN
56,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
310,democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
198,republican,0,NaN,1,1,1,1,0,0,0,1,0,0,0,1,0,1
266,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
338,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
114,republican,0,NaN,0,1,1,1,0,0,0,1,0,1,1,1,0,0
45,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,NaN
342,democrat,0,NaN,1,NaN,0,1,1,1,1,1,1,0,NaN,NaN,1,1
165,democrat,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,NaN
388,democrat,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,NaN
76,democrat,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
432,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
260,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
263,democrat,1,0,1,0,0,0,1,1,1,1,0,0,NaN,0,1,1
205,republican,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
169,democrat,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,NaN
89,democrat,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
262,democrat,1,0,1,0,0,NaN,1,1,1,0,NaN,NaN,0,NaN,NaN,NaN
246,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
168,republican,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
231,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
180,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
125,democrat,0,NaN,1,0,0,0,1,1,1,0,0,0,0,0,1,1
64,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
152,democrat,1,1,NaN,1,1,1,0,0,1,0,1,NaN,1,1,0,0
163,democrat,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
351,democrat,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
275,republican,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
270,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
178,democrat,0,0,1,0,0,0,1,1,1,1,1,NaN,0,0,1,1
435,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,NaN,0
367,democrat,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,NaN
381,democrat,1,1,1,0,0,1,NaN,1,1,0,1,0,1,0,1,1
184,democrat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
426,democrat,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,NaN
102,democrat,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
92,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
108,republican,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
86,democrat,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
17,democrat,1,0,1,0,0,1,0,1,NaN,1,1,1,NaN,0,0,1
204,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
153,democrat,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
287,democrat,0,0,1,0,0,1,NaN,1,NaN,1,1,1,0,1,1,NaN
304,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
375,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
324,democrat,1,1,1,0,1,1,0,1,NaN,1,0,0,1,1,0,NaN
239,democrat,1,1,1,0,0,0,1,1,NaN,1,0,0,0,0,1,NaN
151,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
405,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
339,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
233,democrat,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,NaN
73,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,NaN
9,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
110,democrat,1,NaN,1,0,0,0,1,1,1,0,0,0,0,0,1,NaN
129,democrat,0,NaN,1,0,0,1,0,1,0,1,1,0,0,0,1,1
240,republican,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
429,democrat,NaN,NaN,NaN,0,0,0,1,1,1,1,0,0,1,0,1,1
135,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,NaN
242,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
67,republican,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
57,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
238,democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
118,republican,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
116,democrat,0,NaN,1,0,NaN,NaN,1,1,1,1,NaN,NaN,0,0,1,1
415,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
147,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
349,democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,NaN
313,democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
290,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,NaN
280,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
104,democrat,1,0,0,0,1,1,NaN,0,NaN,0,0,0,0,1,NaN,0
387,democrat,0,NaN,1,0,1,1,0,1,0,0,1,0,0,0,0,NaN
5,democrat,1,1,1,0,1,1,0,0,0,0,1,NaN,1,1,1,1
90,republican,0,0,0,1,1,1,0,0,0,1,0,NaN,1,1,0,NaN
244,democrat,0,1,1,0,0,0,1,1,NaN,1,0,0,1,0,1,1
39,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
190,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
402,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
289,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
378,republican,0,1,0,1,1,1,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,NaN
364,republican,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
