ID,Class
750,Hayes
751,Hayes
752,Goonan
753,Dent
754,Engineer
755,Johnson
756,Morrison
757,Harp
758,Shea
759,Shea
760,Chachra
761,Merritt
762,Davisson
763,Walters
764,Hayes
765,Messick
766,Chell
767,Mahlers2nd
768,Walters
769,Dent
770,Calvinnme
771,Auken
772,Lawyeraau
773,Koenig
774,Shea
775,Agresti
776,Cutey
777,Lee
778,Koenig
779,Brown
780,Cholette
781,Agresti
782,Chachra
783,Robert
784,Hayes
785,CFH
786,Corn
787,Harp
788,Shea
789,Cutey
790,Riley
791,Messick
792,Morrison
793,Ashbacher
794,CFH
795,Merritt
796,Riley
797,Chandler
798,Auken
799,Chachra
800,Koenig
801,Vision
802,Janson
803,Robert
804,Chachra
805,Walters
806,Chandler
807,Agresti
808,Agresti
809,Engineer
810,Mark
811,Goonan
812,Vision
813,Sherwin
814,Johnson
815,Vernon
816,Calvinnme
817,Peterson
818,Dent
819,Taylor
820,Ashbacher
821,Harp
822,Mark
823,Blankenship
824,Auken
825,Chachra
826,Auken
827,Riley
828,Lovitt
829,Auken
830,Mahlers2nd
831,Kolln
832,Ashbacher
833,Brown
834,Brown
835,Engineer
836,Johnson
837,Auken
838,Dent
839,Dent
840,Shea
841,Grove
842,Messick
843,Taylor
844,Mahlers2nd
845,Janson
846,CFH
847,Peterson
848,Janson
849,Koenig
850,Brown
851,Lawyeraau
852,Dent
853,Messick
854,Lovitt
855,Cholette
856,Johnson
857,Vision
858,Chachra
859,Cholette
860,Merritt
861,Davisson
862,Taylor
863,Messick
864,Vernon
865,Brown
866,Mark
867,Blankenship
868,Messick
869,Dent
870,Brown
871,Harp
872,Corn
873,Riley
874,Shea
875,Lovitt
876,Janson
877,Kolln
878,Bukowsky
879,Peterson
880,Comdet
881,Engineer
882,Davisson
883,Ashbacher
884,Brown
885,Morrison
886,Mark
887,Vernon
888,Goonan
889,Walters
890,Robert
891,Shea
892,Taylor
893,Auken
894,Messick
895,Hayes
896,Comdet
897,Merritt
898,Goonan
899,Engineer
900,Ashbacher
901,Corn
902,Chachra
903,Mahlers2nd
904,Robert
905,Kolln
906,Dent
907,CFH
908,Taylor
909,CFH
910,Chachra
911,Chachra
912,Chell
913,Brown
914,Taylor
915,Davisson
916,Vision
917,CFH
918,Walters
919,Goonan
920,Brown
921,Chachra
922,Brown
923,Mark
924,Taylor
925,Peterson
926,Taylor
927,Peterson
928,Grove
929,Vision
930,Morrison
931,Vision
932,McKee
933,Corn
934,Goonan
935,Corn
936,Janson
937,Harp
938,Cutey
939,Riley
940,Koenig
941,Grove
942,Robert
943,Goonan
944,Grove
945,Lawyeraau
946,Agresti
947,Bukowsky
948,Robert
949,Lovitt
950,Hayes
951,Cutey
952,Power
953,Chandler
954,Messick
955,Dent
956,Messick
957,Robert
958,Grove
959,Janson
960,Dent
961,Auken
962,Taylor
963,Messick
964,Goonan
965,Robert
966,Brown
967,Koenig
968,Cholette
969,Hayes
970,Robert
971,Chachra
972,Davisson
973,Riley
974,Agresti
975,Johnson
976,Harp
977,Blankenship
978,Harp
979,Robert
980,Goonan
981,Shea
982,CFH
983,Comdet
984,Peterson
985,Koenig
986,Auken
987,Lawyeraau
988,Mitchell
989,Power
990,Robert
991,Wilson
992,Dent
993,Hayes
994,Mark
995,Merritt
996,Koenig
997,Power
998,Shea
999,CFH
1000,Taylor
1001,Blankenship
1002,Hayes
1003,Brown
1004,Harp
1005,Taylor
1006,Auken
1007,Mark
1008,Dent
1009,Taylor
1010,Brown
1011,Brown
1012,Merritt
1013,Lawyeraau
1014,Grove
1015,Blankenship
1016,Harp
1017,Brody
1018,Merritt
1019,CFH
1020,Chachra
1021,Chachra
1022,Dent
1023,Koenig
1024,Auken
1025,Chachra
1026,CFH
1027,Lawyeraau
1028,Hayes
1029,Mahlers2nd
1030,Shea
1031,Davisson
1032,Mahlers2nd
1033,Bukowsky
1034,Chell
1035,Johnson
1036,Mitchell
1037,Sherwin
1038,Ashbacher
1039,Harp
1040,Messick
1041,Mahlers2nd
1042,Auken
1043,Engineer
1044,Engineer
1045,Janson
1046,Sherwin
1047,Morrison
1048,Taylor
1049,Auken
1050,Goonan
1051,Engineer
1052,Harp
1053,Engineer
1054,Power
1055,Brown
1056,Engineer
1057,Lovitt
1058,Harp
1059,Taylor
1060,Cutey
1061,Messick
1062,Mahlers2nd
1063,Vernon
1064,Harp
1065,Corn
1066,Morrison
1067,Mark
1068,Cutey
1069,Mark
1070,Walters
1071,Brown
1072,Dent
1073,Blankenship
1074,Chachra
1075,Merritt
1076,Shea
1077,Chachra
1078,Robert
1079,Bukowsky
1080,Agresti
1081,Harp
1082,Blankenship
1083,Vernon
1084,Auken
1085,Mitchell
1086,Chachra
1087,Messick
1088,Harp
1089,Koenig
1090,Dent
1091,Agresti
1092,Auken
1093,Mahlers2nd
1094,Ashbacher
1095,Walters
1096,Peterson
1097,Dent
1098,Cholette
1099,Brody
1100,Brown
1101,Mark
1102,Comdet
1103,Comdet
1104,Robert
1105,Merritt
1106,Cutey
1107,Agresti
1108,Chell
1109,Power
1110,Dent
1111,Chachra
1112,Koenig
1113,Dent
1114,Janson
1115,Neal
1116,CFH
1117,Brown
1118,Janson
1119,Sherwin
1120,Walters
1121,Bukowsky
1122,Brown
1123,Taylor
1124,Comdet
1125,Vernon
1126,Dent
1127,Brown
1128,Messick
1129,Corn
1130,Robert
1131,Blankenship
1132,Davisson
1133,Cutey
1134,Koenig
1135,Mahlers2nd
1136,Brody
1137,Peterson
1138,Koenig
1139,Cholette
1140,Vision
1141,Bukowsky
1142,Goonan
1143,Mark
1144,Grove
1145,Harp
1146,Vision
1147,Koenig
1148,Corn
1149,Vision
1150,Auken
1151,Blankenship
1152,Peterson
1153,Peterson
1154,Messick
1155,Shea
1156,Mark
1157,Peterson
1158,Goonan
1159,Ashbacher
1160,Chachra
1161,Koenig
1162,Calvinnme
1163,Brown
1164,Lovitt
1165,Johnson
1166,Taylor
1167,Chachra
1168,Koenig
1169,Bukowsky
1170,Brown
1171,Davisson
1172,Agresti
1173,Dent
1174,Shea
1175,Power
1176,Davisson
1177,Kolln
1178,Taylor
1179,Riley
1180,Ashbacher
1181,Taylor
1182,Mitchell
1183,McKee
1184,Janson
1185,McKee
1186,Lovitt
1187,Harp
1188,Auken
1189,Dent
1190,Agresti
1191,Chachra
1192,CFH
1193,Morrison
1194,Vernon
1195,Peterson
1196,Hayes
1197,Peterson
1198,Davisson
1199,Nigam
1200,Shea
1201,Brown
1202,Mitchell
1203,Harp
1204,Messick
1205,McKee
1206,Riley
1207,Koenig
1208,Brody
1209,Lovitt
1210,Comdet
1211,Messick
1212,Cholette
1213,Corn
1214,Vernon
1215,Brown
1216,Peterson
1217,Mitchell
1218,Brown
1219,Peterson
1220,Riley
1221,Agresti
1222,Koenig
1223,Dent
1224,Ashbacher
1225,Chell
1226,Power
1227,Koenig
1228,Dent
1229,CFH
1230,Robert
1231,Power
1232,Janson
1233,Brown
1234,Brown
1235,Davisson
1236,Sherwin
1237,Lawyeraau
1238,Power
1239,Mark
1240,McKee
1241,Riley
1242,Robert
1243,Mahlers2nd
1244,Vision
1245,Auken
1246,Chachra
1247,Koenig
1248,Mark
1249,Taylor
1250,Hayes
1251,Taylor
1252,CFH
1253,Dent
1254,Koenig
1255,Brody
1256,Sherwin
1257,Janson
1258,Comdet
1259,Lovitt
1260,Dent
1261,Lovitt
1262,Harp
1263,Cutey
1264,Dent
1265,Brown
1266,Power
1267,Koenig
1268,Janson
1269,Cholette
1270,Koenig
1271,Brown
1272,Mitchell
1273,Janson
1274,Koenig
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,Vision
1280,Janson
1281,Messick
1282,Ashbacher
1283,Brown
1284,Shea
1285,Grove
1286,Koenig
1287,Hayes
1288,Taylor
1289,Corn
1290,Chachra
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,Dent
1296,Taylor
1297,Cholette
1298,Robert
1299,Taylor
1300,Shea
1301,Merritt
1302,Dent
1303,Comdet
1304,Janson
1305,Chachra
1306,Cholette
1307,Chell
1308,Auken
1309,Robert
1310,Ashbacher
1311,Peterson
1312,Davisson
1313,Dent
1314,Dent
1315,Shea
1316,Harp
1317,CFH
1318,Brody
1319,Vision
1320,Brown
1321,Ashbacher
1322,Lawyeraau
1323,Messick
1324,Cholette
1325,Bukowsky
1326,Janson
1327,Cutey
1328,Dent
1329,Chandler
1330,Auken
1331,Mark
1332,Bukowsky
1333,Neal
1334,Shea
1335,Janson
1336,Johnson
1337,Auken
1338,Comdet
1339,Ashbacher
1340,Chachra
1341,Shea
1342,Koenig
1343,Auken
1344,Shea
1345,Morrison
1346,Dent
1347,Dent
1348,Peterson
1349,Chell
1350,Messick
1351,Agresti
1352,McKee
1353,Taylor
1354,Auken
1355,Dent
1356,Mark
1357,Koenig
1358,Dent
1359,Cutey
1360,Blankenship
1361,Agresti
1362,Mark
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Davisson
1367,Brown
1368,Brody
1369,Davisson
1370,CFH
1371,Brody
1372,Peterson
1373,Engineer
1374,Mark
1375,Harp
1376,Cutey
1377,Power
1378,Koenig
1379,Cutey
1380,Auken
1381,Messick
1382,McKee
1383,CFH
1384,Shea
1385,Lovitt
1386,Cholette
1387,Dent
1388,Vision
1389,Brown
1390,Harp
1391,Auken
1392,Engineer
1393,Koenig
1394,Taylor
1395,Chachra
1396,Shea
1397,Merritt
1398,Dent
1399,Morrison
1400,Bukowsky
1401,Janson
1402,Cholette
1403,Dent
1404,Mark
1405,Comdet
1406,Chachra
1407,Sherwin
1408,Dent
1409,Vision
1410,Dent
1411,Taylor
1412,McKee
1413,Dent
1414,Shea
1415,Janson
1416,Dent
1417,Hayes
1418,Engineer
1419,Dent
1420,Koenig
1421,Vernon
1422,Bukowsky
1423,Messick
1424,Koenig
1425,Davisson
1426,Shea
1427,Peterson
1428,Koenig
1429,Robert
1430,Robert
1431,Janson
1432,Chell
1433,Auken
1434,Power
1435,Dent
1436,Sherwin
1437,Sherwin
1438,Koenig
1439,Davisson
1440,CFH
1441,Bukowsky
1442,Comdet
1443,Brown
1444,Dent
1445,Bukowsky
1446,Bukowsky
1447,Cholette
1448,Brody
1449,Engineer
1450,Auken
1451,Hayes
1452,Koenig
1453,Johnson
1454,Robert
1455,Bukowsky
1456,Sherwin
1457,Dent
1458,Brown
1459,Grove
1460,Engineer
1461,Mark
1462,Dent
1463,Walters
1464,Brown
1465,Dent
1466,Robert
1467,Davisson
1468,Dent
1469,Taylor
1470,Lawyeraau
1471,Morrison
1472,Koenig
1473,Ashbacher
1474,Dent
1475,Merritt
1476,Dent
1477,Nigam
1478,Brown
1479,Dent
1480,Mark
1481,Engineer
1482,Dent
1483,Cholette
1484,Bukowsky
1485,Koenig
1486,Taylor
1487,Davisson
1488,Johnson
1489,Comdet
1490,Harp
1491,Brown
1492,Harp
1493,Davisson
1494,Harp
1495,Hayes
1496,Auken
1497,Harp
1498,Grove
1499,Janson
