ID,Class
368,democrat
15,republican
94,democrat
107,republican
285,democrat
53,democrat
138,democrat
265,democrat
419,democrat
226,republican
359,democrat
353,republican
162,democrat
40,democrat
81,democrat
427,democrat
320,democrat
193,democrat
91,democrat
200,democrat
44,democrat
299,democrat
119,democrat
411,republican
334,democrat
2,republican
117,democrat
404,republican
346,republican
150,democrat
82,democrat
259,democrat
8,republican
46,democrat
160,democrat
227,democrat
272,democrat
358,republican
319,democrat
71,democrat
268,democrat
428,republican
312,democrat
254,republican
124,republican
177,republican
409,democrat
96,democrat
176,democrat
332,democrat
13,democrat
98,democrat
417,republican
360,republican
166,democrat
394,democrat
399,democrat
431,republican
28,democrat
288,democrat
154,democrat
95,democrat
352,republican
309,republican
25,democrat
328,republican
228,democrat
212,republican
159,republican
256,democrat
386,democrat
323,democrat
433,republican
337,democrat
223,democrat
418,democrat
374,democrat
412,democrat
414,republican
376,republican
271,democrat
213,democrat
122,republican
245,democrat
277,republican
390,democrat
185,democrat
392,democrat
398,democrat
123,republican
348,republican
49,democrat
31,republican
326,democrat
136,republican
327,republican
295,democrat
58,republican
261,democrat
188,democrat
389,republican
142,republican
222,democrat
111,democrat
235,democrat
380,republican
357,republican
234,republican
6,democrat
156,republican
179,democrat
384,democrat
303,republican
137,republican
140,democrat
370,republican
132,democrat
217,democrat
52,republican
248,republican
361,democrat
300,democrat
362,democrat
229,republican
146,democrat
400,republican
47,democrat
26,democrat
203,democrat
296,republican
247,democrat
65,democrat
51,democrat
201,democrat
216,republican
37,republican
395,democrat
237,democrat
330,democrat
100,republican
61,democrat
196,republican
410,republican
331,republican
127,republican
365,republican
373,republican
305,republican
413,republican
434,republican
302,democrat
192,republican
1,republican
336,republican
36,republican
293,democrat
167,republican
143,republican
88,republican
144,democrat
371,democrat
316,republican
425,democrat
7,republican
99,democrat
181,democrat
157,republican
199,democrat
278,republican
423,democrat
283,republican
396,democrat
170,democrat
344,republican
173,democrat
269,democrat
22,democrat
34,republican
130,democrat
403,republican
335,democrat
264,democrat
282,republican
35,democrat
115,democrat
406,republican
219,democrat
105,democrat
207,republican
197,democrat
84,republican
243,democrat
38,republican
329,democrat
97,democrat
43,democrat
155,republican
172,republican
354,republican
286,democrat
318,democrat
294,democrat
257,republican
16,republican
175,democrat
347,republican
77,democrat
225,republican
236,republican
325,republican
141,republican
356,republican
408,republican
187,democrat
377,democrat
54,republican
103,democrat
